"anio","tipo_energia","valor_en_twh","porcentaje"
"1991","Gas natural","19972.84","18.57634433"
"1991","Hidro","6531.108","6.074454664"
"1991","Nuclear","5948.311","5.532406676"
"1991","Otras renovables","376.81265","0.35046601"
"1991","Petróleo","37663.043","35.02965304"
"1991","Solar","1.4942344","0.001389758"
"1991","Total","107517.6022","100.0"
"1992","Biocombustibles","108.79633","0.100553107"
"1992","Biomasa tradicional ","11376.0","10.51406925"
"1992","Carbón","25558.422","23.621925"
"1992","Eólica","13.994874","0.012934518"
"1992","Gas natural","20063.484","18.54332456"
"1992","Hidro","6530.39","6.035598864"
"1992","Nuclear","5993.4634","5.539353835"
"1992","Otras renovables","404.78116","0.374111915"
"1992","Petróleo","38147.168","35.25685355"
"1992","Solar","1.379965","0.001275409"
"1992","Total","108197.8797","100.0"
"1993","Biocombustibles","114.44431","0.104897106"
"1993","Biomasa tradicional ","11511.0","10.55072621"
"1993","Carbón","25688.932","23.5459029"
"1993","Eólica","16.867165","0.015460068"
"1993","Gas natural","20265.482","18.57488942"
"1993","Hidro","6923.671","6.346082626"
"1993","Nuclear","6199.8696","5.682662385"
"1993","Otras renovables","418.23853","0.383348121"
"1993","Petróleo","37961.344","34.79452239"
"1993","Solar","1.6460894","0.001508769"
"1993","Total","109101.4947","100.0"
"1994","Biocombustibles","124.175285","0.1124035"
"1994","Biomasa tradicional ","11647.0","10.5428674"
"1994","Carbón","25788.928","23.34414427"
"1994","Eólica","21.088448","0.019089269"
"1994","Gas natural","20389.613","18.45668294"
"1994","Hidro","6967.2666","6.306771521"
"1994","Nuclear","6316.248","5.717469316"
"1994","Otras renovables","434.65265","0.393447691"
"1994","Petróleo","38782.055","35.10552617"
"1994","Solar","1.7652723","0.001597925"
"1994","Total","110472.7923","100.0"
"1995","Biocombustibles","131.20163","0.116248704"
"1995","Biomasa tradicional ","11785.0","10.44187466"
"1995","Carbón","25966.357","23.00699577"
"1995","Eólica","24.46058","0.021672831"
"1995","Gas natural","21104.494","18.69923471"
"1995","Hidro","7344.2354","6.507219814"
"1995","Nuclear","6590.213","5.839132636"
"1995","Otras renovables","454.25476","0.402483773"
"1995","Petróleo","39460.77","34.96346324"
"1995","Solar","1.8891695","0.001673863"
"1995","Total","112862.8755","100.0"
"1996","Biocombustibles","125.91322","0.10864227"
"1996","Biomasa tradicional ","11925.0","10.28930143"
"1996","Carbón","26584.988","22.93844486"
"1996","Eólica","27.250431","0.023512612"
"1996","Gas natural","22159.256","19.1197706"
"1996","Hidro","7442.8306","6.421931028"
"1996","Nuclear","6828.8057","5.89212916"
"1996","Otras renovables","466.32935","0.402365052"
"1996","Petróleo","40334.64","34.80211898"
"1996","Solar","2.0676155","0.00178401"
"1996","Total","115897.0809","100.0"
"1997","Biocombustibles","130.18306","0.111159606"
"1997","Biomasa tradicional ","12066.0","10.30281362"
"1997","Carbón","26540.139","22.66186852"
"1997","Eólica","35.567307","0.03036991"
"1997","Gas natural","22030.393","18.8111249"
"1997","Hidro","7573.9106","6.467146468"
"1997","Nuclear","6781.843","5.790822512"
"1997","Otras renovables","499.9418","0.426886059"
"1997","Petróleo","41453.445","35.39591561"
"1997","Solar","2.2167242","0.001892798"
"1997","Total","117113.6395","100.0"
"1998","Biocombustibles","133.53989","0.113246034"
"1998","Biomasa tradicional ","12209.0","10.35361666"
"1998","Carbón","26372.479","22.36469308"
"1998","Eólica","47.10265","0.039944531"
